Id,año,messem,sem,finicio,ffin
298,2016,S,38,9/11/2016,9/17/2016
299,2016,S,39,9/18/2016,9/24/2016
300,2016,S,40,9/25/2016,10/1/2016
301,2016,S,41,10/2/2016,10/8/2016
302,2016,S,42,10/9/2016,10/15/2016
303,2016,S,43,10/16/2016,10/22/2016
304,2016,S,44,10/23/2016,10/29/2016
305,2016,S,45,10/30/2016,11/5/2016
306,2016,S,46,11/6/2016,11/12/2016
307,2016,S,47,11/13/2016,11/19/2016
308,2016,S,48,11/20/2016,11/26/2016
309,2016,S,49,11/27/2016,12/3/2016
310,2016,S,50,12/4/2016,12/10/2016
311,2016,S,51,12/11/2016,12/17/2016
312,2016,S,52,12/18/2016,12/24/2016
313,2016,S,53,12/25/2016,12/31/2016
314,2017,S,1,1/1/2017,1/7/2017
315,2017,S,2,1/8/2017,1/14/2017
316,2017,S,3,1/15/2017,1/21/2017
317,2017,S,4,1/22/2017,1/28/2017
318,2017,S,5,1/29/2017,2/4/2017
319,2017,S,6,2/5/2017,2/11/2017
320,2017,S,7,2/12/2017,2/18/2017
321,2017,S,8,2/19/2017,2/25/2017
322,2017,S,9,2/26/2017,3/4/2017
323,2017,S,10,3/5/2017,3/11/2017
324,2017,S,11,3/12/2017,3/18/2017
325,2017,S,12,3/19/2017,3/25/2017
326,2017,S,13,3/26/2017,4/1/2017
327,2017,S,14,4/2/2017,4/8/2017
328,2017,S,15,4/9/2017,4/15/2017
329,2017,S,16,4/16/2017,4/22/2017
330,2017,S,17,4/23/2017,4/29/2017
331,2017,S,18,4/30/2017,5/6/2017
332,2017,S,19,5/7/2017,5/13/2017
333,2017,S,20,5/14/2017,5/20/2017
334,2017,S,21,5/21/2017,5/27/2017
335,2017,S,22,5/28/2017,6/3/2017
336,2017,S,23,6/4/2017,6/10/2017
337,2017,S,24,6/11/2017,6/17/2017
338,2017,S,25,6/18/2017,6/24/2017
339,2017,S,26,6/25/2017,7/1/2017
340,2017,S,27,7/2/2017,7/8/2017
341,2017,S,28,7/9/2017,7/15/2017
342,2017,S,29,7/16/2017,7/22/2017
343,2017,S,30,7/23/2017,7/29/2017
344,2017,S,31,7/30/2017,8/5/2017
345,2017,S,32,8/6/2017,8/12/2017
346,2017,S,33,8/13/2017,8/19/2017
347,2017,S,34,8/20/2017,8/26/2017
348,2017,S,35,8/27/2017,9/2/2017
349,2017,S,36,9/3/2017,9/9/2017
350,2017,S,37,9/10/2017,9/16/2017
351,2017,S,38,9/17/2017,9/23/2017
352,2017,S,39,9/24/2017,9/30/2017
353,2017,S,40,10/1/2017,10/7/2017
354,2017,S,41,10/8/2017,10/14/2017
355,2017,S,42,10/15/2017,10/21/2017
356,2017,S,43,10/22/2017,10/28/2017
357,2017,S,44,10/29/2017,11/4/2017
358,2017,S,45,11/5/2017,11/11/2017
359,2017,S,46,11/12/2017,11/18/2017
360,2017,S,47,11/19/2017,11/25/2017
361,2017,S,48,11/26/2017,12/2/2017
362,2017,S,49,12/3/2017,12/9/2017
363,2017,S,50,12/10/2017,12/16/2017
364,2017,S,51,12/17/2017,12/23/2017
365,2017,S,52,12/24/2017,12/30/2017
366,2018,S,1,12/31/2017,1/6/2018
367,2018,S,2,1/7/2018,1/13/2018
368,2018,S,3,1/14/2018,1/20/2018
369,2018,S,4,1/21/2018,1/27/2018
370,2018,S,5,1/28/2018,2/3/2018
371,2018,S,6,2/4/2018,2/10/2018
372,2018,S,7,2/11/2018,2/17/2018
373,2018,S,8,2/18/2018,2/24/2018
374,2018,S,9,2/25/2018,3/3/2018
375,2018,S,10,3/4/2018,3/10/2018
376,2018,S,11,3/11/2018,3/17/2018
377,2018,S,12,3/18/2018,3/24/2018
378,2018,S,13,3/25/2018,3/31/2018
379,2018,S,14,4/1/2018,4/7/2018
380,2018,S,15,4/8/2018,4/14/2018
381,2018,S,16,4/15/2018,4/21/2018
382,2018,S,17,4/22/2018,4/28/2018
383,2018,S,18,4/29/2018,5/5/2018
384,2018,S,19,5/6/2018,5/12/2018
385,2018,S,20,5/13/2018,5/19/2018
386,2018,S,21,5/20/2018,5/26/2018
387,2018,S,22,5/27/2018,6/2/2018
388,2018,S,23,6/3/2018,6/9/2018
389,2018,S,24,6/10/2018,6/16/2018
390,2018,S,25,6/17/2018,6/23/2018
391,2018,S,26,6/24/2018,6/30/2018
392,2018,S,27,7/1/2018,7/7/2018
393,2018,S,28,7/8/2018,7/14/2018
394,2018,S,29,7/15/2018,7/21/2018
395,2018,S,30,7/22/2018,7/28/2018
396,2018,S,31,7/29/2018,8/4/2018
397,2018,S,32,8/5/2018,8/11/2018
398,2018,S,33,8/12/2018,8/18/2018
399,2018,S,34,8/19/2018,8/25/2018
400,2018,S,35,8/26/2018,9/1/2018
401,2018,S,36,9/2/2018,9/8/2018
402,2018,S,37,9/9/2018,9/15/2018
403,2018,S,38,9/16/2018,9/22/2018
404,2018,S,39,9/23/2018,9/29/2018
405,2018,S,40,9/30/2018,10/6/2018
406,2018,S,41,10/7/2018,10/13/2018
407,2018,S,42,10/14/2018,10/20/2018
408,2018,S,43,10/21/2018,10/27/2018
409,2018,S,44,10/28/2018,11/3/2018
410,2018,S,45,11/4/2018,11/10/2018
411,2018,S,46,11/11/2018,11/17/2018
412,2018,S,47,11/18/2018,11/24/2018
413,2018,S,48,11/25/2018,12/1/2018
414,2018,S,49,12/2/2018,12/8/2018
415,2018,S,50,12/9/2018,12/15/2018
416,2018,S,51,12/16/2018,12/22/2018
417,2018,S,52,12/23/2018,12/29/2018
418,2019,S,1,12/30/2018,1/5/2019
419,2019,S,2,1/6/2019,1/12/2019
420,2019,S,3,1/13/2019,1/19/2019
421,2019,S,4,1/20/2019,1/26/2019
422,2019,S,5,1/27/2019,2/2/2019
423,2019,S,6,2/3/2019,2/9/2019
424,2019,S,7,2/10/2019,2/16/2019
425,2019,S,8,2/17/2019,2/23/2019
426,2019,S,9,2/24/2019,3/2/2019
427,2019,S,10,3/3/2019,3/9/2019
428,2019,S,11,3/10/2019,3/16/2019
429,2019,S,12,3/17/2019,3/23/2019
430,2019,S,13,3/24/2019,3/30/2019
431,2019,S,14,3/31/2019,4/6/2019
432,2019,S,15,4/7/2019,4/13/2019
433,2019,S,16,4/14/2019,4/20/2019
434,2019,S,17,4/21/2019,4/27/2019
435,2019,S,18,4/28/2019,5/4/2019
436,2019,S,19,5/5/2019,5/11/2019
437,2019,S,20,5/12/2019,5/18/2019
438,2019,S,21,5/19/2019,5/25/2019
439,2019,S,22,5/26/2019,6/1/2019
440,2019,S,23,6/2/2019,6/8/2019
441,2019,S,24,6/9/2019,6/15/2019
442,2019,S,25,6/16/2019,6/22/2019
443,2019,S,26,6/23/2019,6/29/2019
444,2019,S,27,6/30/2019,7/6/2019
445,2019,S,28,7/7/2019,7/13/2019
446,2019,S,29,7/14/2019,7/20/2019
447,2019,S,30,7/21/2019,7/27/2019
448,2019,S,31,7/28/2019,8/3/2019
449,2019,S,32,8/4/2019,8/10/2019
450,2019,S,33,8/11/2019,8/17/2019
451,2019,S,34,8/18/2019,8/24/2019
452,2019,S,35,8/25/2019,8/31/2019
453,2019,S,36,9/1/2019,9/7/2019
454,2019,S,37,9/8/2019,9/14/2019
455,2019,S,38,9/15/2019,9/21/2019
456,2019,S,39,9/22/2019,9/28/2019
457,2019,S,40,9/29/2019,10/5/2019
458,2019,S,41,10/6/2019,10/12/2019
459,2019,S,42,10/13/2019,10/19/2019
460,2019,S,43,10/20/2019,10/26/2019
461,2019,S,44,10/27/2019,11/2/2019
462,2019,S,45,11/3/2019,11/9/2019
463,2019,S,46,11/10/2019,11/16/2019
464,2019,S,47,11/17/2019,11/23/2019
465,2019,S,48,11/24/2019,11/30/2019
466,2019,S,49,12/1/2019,12/7/2019
467,2019,S,50,12/8/2019,12/14/2019
468,2019,S,51,12/15/2019,12/21/2019
469,2019,S,52,12/22/2019,12/28/2019
470,2020,S,1,12/29/2019,1/4/2020
471,2020,S,2,1/5/2020,1/11/2020
472,2020,S,3,1/12/2020,1/18/2020
473,2020,S,4,1/19/2020,1/25/2020
474,2020,S,5,1/26/2020,2/1/2020
475,2020,S,6,2/2/2020,2/8/2020
476,2020,S,7,2/9/2020,2/15/2020
477,2020,S,8,2/16/2020,2/22/2020
478,2020,S,9,2/23/2020,2/29/2020
479,2020,S,10,3/1/2020,3/7/2020
480,2020,S,11,3/8/2020,3/14/2020
481,2020,S,12,3/15/2020,3/21/2020
482,2020,S,13,3/22/2020,3/28/2020
483,2020,S,14,3/29/2020,4/4/2020
484,2020,S,15,4/5/2020,4/11/2020
485,2020,S,16,4/12/2020,4/18/2020
486,2020,S,17,4/19/2020,4/25/2020
487,2020,S,18,4/26/2020,5/2/2020
488,2020,S,19,5/3/2020,5/9/2020
489,2020,S,20,5/10/2020,5/16/2020
490,2020,S,21,5/17/2020,5/23/2020
491,2020,S,22,5/24/2020,5/30/2020
492,2020,S,23,5/31/2020,6/6/2020
493,2020,S,24,6/7/2020,6/13/2020
494,2020,S,25,6/14/2020,6/20/2020
495,2020,S,26,6/21/2020,6/27/2020
496,2020,S,27,6/28/2020,7/4/2020
497,2020,S,28,7/5/2020,7/11/2020
498,2020,S,29,7/12/2020,7/18/2020
499,2020,S,30,7/19/2020,7/25/2020
500,2020,S,31,7/26/2020,8/1/2020
501,2020,S,32,8/2/2020,8/8/2020
502,2020,S,33,8/9/2020,8/15/2020
503,2020,S,34,8/16/2020,8/22/2020
504,2020,S,35,8/23/2020,8/29/2020
505,2020,S,36,8/30/2020,9/5/2020
506,2020,S,37,9/6/2020,9/12/2020
507,2020,S,38,9/13/2020,9/19/2020
508,2020,S,39,9/20/2020,9/26/2020
509,2020,S,40,9/27/2020,10/3/2020
510,2020,S,41,10/4/2020,10/10/2020
511,2020,S,42,10/11/2020,10/17/2020
512,2020,S,43,10/18/2020,10/24/2020
513,2020,S,44,10/25/2020,10/31/2020
514,2020,S,45,11/1/2020,11/7/2020
515,2020,S,46,11/8/2020,11/14/2020
516,2020,S,47,11/15/2020,11/21/2020
517,2020,S,48,11/22/2020,11/28/2020
518,2020,S,49,11/29/2020,12/5/2020
519,2020,S,50,12/6/2020,12/12/2020
520,2020,S,51,12/13/2020,12/19/2020
521,2020,S,52,12/20/2020,12/26/2020
523,2011,Q,1,1/1/2011,1/15/2011
524,2011,Q,2,1/16/2011,1/31/2011
525,2011,Q,3,2/1/2011,2/15/2011
526,2011,Q,4,2/16/2011,2/28/2011
527,2011,Q,5,3/1/2011,3/15/2011
528,2011,Q,6,3/16/2011,3/31/2011
529,2011,Q,7,4/1/2011,4/15/2011
530,2011,Q,8,4/16/2011,4/30/2011
531,2011,Q,9,5/1/2011,5/15/2011
532,2011,Q,10,5/16/2011,5/31/2011
533,2011,Q,11,6/1/2011,6/15/2011
534,2011,Q,12,6/16/2011,6/30/2011
535,2011,Q,13,7/1/2011,7/15/2011
536,2011,Q,14,7/16/2011,7/31/2011
537,2011,Q,15,8/1/2011,8/15/2011
538,2011,Q,16,8/16/2011,8/31/2011
539,2011,Q,17,9/1/2011,9/15/2011
540,2011,Q,18,9/16/2011,9/30/2011
541,2011,Q,19,10/1/2011,10/15/2011
542,2011,Q,20,10/16/2011,10/31/2011
543,2011,Q,21,11/1/2011,11/15/2011
544,2011,Q,22,11/16/2011,11/30/2011
